Name,Lattitude,Longitude,Address,Phone number,Website,Dish Name,Dish description,Price,Starter,Main,Dessert,Drink,Vegetarian,Vegan,Gluten Free,
Burch & Purchese Sweet Studio,-37.837592,144.995665,"647 Chapel St, South Yarra VIC 3141, Australia",(03) 9827 7060,https://www.burchandpurchese.com/,"Vanilla, Mascarpone, Orange, Pistachio Tart ","White chocolate brushed vanilla shell | vanilla, mascarpone, orange & white chocolatecream | white chocolate shards | pistachio | ",$9.50,,,TRUE,,,,,
Burch & Purchese Sweet Studio,-37.837592,144.995665,"647 Chapel St, South Yarra VIC 3141, Australia",(03) 9827 7060,https://www.burchandpurchese.com/,"Chocolate, Mandarin, Salted Caramel (Gluten & Nut Free)",Flourless chocolate sponge | mandarin cream | Murray River salted caramel cream | dark chocolate mousse | shiny chocolate mirror glaze | ,$9.50,,,TRUE,,,,,
Burch & Purchese Sweet Studio,-37.837592,144.995665,"647 Chapel St, South Yarra VIC 3141, Australia",(03) 9827 7060,https://www.burchandpurchese.com/,"Raspberry, Rose & Lychee Choux Tart","Vanilla baked tart shell | raspberry jam | raspberry cream | white chocolate & rose cream | vanilla glaze | lychee jelly | raspberry, rose & lychee mini choux bun",$9.50,,,TRUE,,,,,
Burch & Purchese Sweet Studio,-37.837592,144.995665,"647 Chapel St, South Yarra VIC 3141, Australia",(03) 9827 7060,https://www.burchandpurchese.com/,"Strawberry, Lemon, Feijoa, Raspberry",Coconut & raspberry sponge | lemon curd | feijoa & raspberry compote | strawberry cream | strawberry & white chocolate mousse | feijoa jelly | strawberry jelly | ,$9.50,,,TRUE,,,,TRUE,
Vue de monde,-37.818542,144.95751,"55, Rialto Towers, 525 Collins St, Melbourne VIC 3",(03) 9691 3888,http://www.vuedemonde.com.au/,Turnips With Fresh Milk Curd And Emu,,,,,TRUE,,,,,
Vue de monde,-37.818542,144.95751,"55, Rialto Towers, 525 Collins St, Melbourne VIC 4",(03) 9691 3888,http://www.vuedemonde.com.au/,"Western Australian Marron Tail With Macadamia And Pine Mushrooms",,,,,TRUE,,,,,
Vue de monde,-37.818542,144.95751,"55, Rialto Towers, 525 Collins St, Melbourne VIC 5",(03) 9691 3888,http://www.vuedemonde.com.au/,Moonlight Flat Rusty Wire Oyster With Lemon Myrtle ,,,,,TRUE,,,,,
Vue de monde,-37.818542,144.95751,"55, Rialto Towers, 525 Collins St, Melbourne VIC 6",(03) 9691 3888,http://www.vuedemonde.com.au/,Marron Snag Sizzle With Seaweed Mustard And Onions,,,,,TRUE,,,,,
Vue de monde,-37.818542,144.95751,"55, Rialto Towers, 525 Collins St, Melbourne VIC 7",(03) 9691 3888,http://www.vuedemonde.com.au/,"Mark Eather Barramundi With Spanner Crab And Beach Herbs",,,,,TRUE,,,,,
Gelato Messina,-37.8018798,144.983528,"237 Smith St, Fitzroy VIC 3065, Australia",(03) 9417 0488,www.gelatomessina.com/,Dr. Evil’S Magic Mushroom,"The top dome of this cake is filled with Dr Evil gelato (dark chocolate gelato, peanut cookies and dulce de leche) and is topped with layers of vanilla cream, chocolate sponge, a red ganache, and white chocolate buttons to finish. The stalk is filled with dulce de leche caramel surrounded by dark chocolate gelato. The whole mushroom sits upon ‘grass’ made from popping candy, crushed biscuit, white chocolate and almond praline.",$85.00,,,TRUE,,,,,
Gelato Messina,-37.8018798,144.983528,"237 Smith St, Fitzroy VIC 3065, Australia",(03) 9417 0488,www.gelatomessina.com/,Black Forest,"Our Black Forest cake has a bottom half of chocolate fondant gelato, kirsch semi freddo with amarena cherries, and a chocolate crackle disc. The top half contains a cherry sorbet hemisphere encased in a crisp dark chocolate dome. All finished with a dark chocolate spray.",$85.00,,,TRUE,,,,,
Gelato Messina,-37.8018798,144.983528,"237 Smith St, Fitzroy VIC 3065, Australia",(03) 9417 0488,www.gelatomessina.com/,The Block,"The Block contains layers of both peanut butter and salted caramel gelato, atop a white chocolate, peanut butter and peanut praline base. All finished with a white chocolate velvet spray and a peanut chocolate florentine.",$48.00,,,TRUE,,,,,
Gelato Messina,-37.8018798,144.983528,"237 Smith St, Fitzroy VIC 3065, Australia",(03) 9417 0488,www.gelatomessina.com/,Juliette,"Contains a wild strawberry sorbet centre with vanilla chantilly and strawberry gelato, all on a base of marsala and strawberry syrup soaked sponge. Finished with piped meringue and raspberries.",$48.00,,,TRUE,,,,,
La Belle Miette,-37.8140786,144.9615148,"30 Hardware Ln, Melbourne VIC 3000, Australia",(03) 9024 4528,https://www.labellemiette.com.au,Mailable Macarons,Fleur de Sel Caramel (Salted Caramel) macarons,$46.00,,,TRUE,,,,,
La Belle Miette,-37.8140786,144.9615148,"30 Hardware Ln, Melbourne VIC 3000, Australia",(03) 9024 4528,https://www.labellemiette.com.au,Mother'S Day Chocolate Bonbon Selection,Classic flavours made with exquisite ingredients.,$22.50,,,TRUE,,,,,
La Belle Miette,-37.8140786,144.9615148,"30 Hardware Ln, Melbourne VIC 3000, Australia",(03) 9024 4528,https://www.labellemiette.com.au,Single Origin Madagascar Chocolate,"A range of artisanal ice creams and sorbets, made in our Richmond kitchen with the same obsessive dedication to technique, ",,,,TRUE,,,,,
La Belle Miette,-37.8140786,144.9615148,"30 Hardware Ln, Melbourne VIC 3000, Australia",(03) 9024 4528,https://www.labellemiette.com.au,Boléro,"The teas are masterfully blended, created with tea sourced from the finest estates and are naturally flavoured.",$32.00,,,,TRUE,,,,
La Belle Miette,-37.8140786,144.9615148,"30 Hardware Ln, Melbourne VIC 3000, Australia",(03) 9024 4528,https://www.labellemiette.com.au,Milk Chocolate Almonds,chocolate coated centres made with the finest Belgian chocolate,$6.50,,,TRUE,,,,,
Lune Croissanterie,-37.7958994,144.9799594,"119 Rose St, Fitzroy VIC 3065, Australia",(03) 9419 2320,https://www.lunecroissanterie.com/,Croissant,"Traditional French croissant, prepared over 3 days",$5.50,,,TRUE,,,,,
Lune Croissanterie,-37.7958994,144.9799594,"119 Rose St, Fitzroy VIC 3065, Australia",(03) 9419 2320,https://www.lunecroissanterie.com/,Pain Au Chocolat,"Traditional chocolate croissant, with two organic dark chocolate batons",$6.00,,,TRUE,,,,,
Lune Croissanterie,-37.7958994,144.9799594,"119 Rose St, Fitzroy VIC 3065, Australia",(03) 9419 2320,https://www.lunecroissanterie.com/,Kouign Amann,"Traditional pastry from the Bretagne region of France, laminated with sugar and baked in a buttered, sugared mold until caramelized",$6.00,,,TRUE,,,,,
Lune Croissanterie,-37.7958994,144.9799594,"119 Rose St, Fitzroy VIC 3065, Australia",(03) 9419 2320,https://www.lunecroissanterie.com/,Danish,"Seasonal Fruit, crème pâtissière",$8.00,,,TRUE,,,,,
Lune Croissanterie,-37.7958994,144.9799594,"119 Rose St, Fitzroy VIC 3065, Australia",(03) 9419 2320,https://www.lunecroissanterie.com/,Ham & Gruyere,"A croissant baked fresh with a filling of shaved ham, Swiss Gruyere & seeded mustard ",$8.50,,,TRUE,,,,,
Rumi,-37.7748365,144.9713157,"116 Lygon St, Brunswick East VIC 3057, Australia",(03) 9388 8255,http://rumirestaurant.com.au/,Crispy Fried School Prawns,tahini sauce,$16.50,TRUE,,,,,,,
Rumi,-37.7748365,144.9713157,"116 Lygon St, Brunswick East VIC 3057, Australia",(03) 9388 8255,http://rumirestaurant.com.au/,Bastourma,smoked duck breast,$12.50,TRUE,,,,,,,
Rumi,-37.7748365,144.9713157,"116 Lygon St, Brunswick East VIC 3057, Australia",(03) 9388 8255,http://rumirestaurant.com.au/,King Prawns,"olive oil, lemon myrtle salt",$8.00 each,,TRUE,,,,,,
Rumi,-37.7748365,144.9713157,"116 Lygon St, Brunswick East VIC 3057, Australia",(03) 9388 8255,http://rumirestaurant.com.au/,Chicken Wings,"toum, Aleppo pepper",$16.00,,TRUE,,,,,,
MoVida Bar De Tapas,-37.8166265,144.9691308,"1 Hosier Ln, Melbourne VIC 3000, Australia",(03) 9663 3038,https://movida.com.au,Anchoa,Hand-filleted Cantabrian Artisan Anchovy on  Crouton with Smoked Tomato Sorbet, $4.50 each,TRUE,,,,,,,
MoVida Bar De Tapas,-37.8166265,144.9691308,"1 Hosier Ln, Melbourne VIC 3000, Australia",(03) 9663 3038,https://movida.com.au,Croqueta,Spinach & Manchego Croquette, $4.50 each,TRUE,,,,,,,
MoVida Bar De Tapas,-37.8166265,144.9691308,"1 Hosier Ln, Melbourne VIC 3000, Australia",(03) 9663 3038,https://movida.com.au,Tartare De Atun,"Tartare of raw Albacore Tuna with Horseradish,
Sea Herbs & Mojama",$23.50,,TRUE,,,,,,
MoVida Bar De Tapas,-37.8166265,144.9691308,"1 Hosier Ln, Melbourne VIC 3000, Australia",(03) 9663 3038,https://movida.com.au,Pulpo,Chargrilled Octopus with Kipfler Potatoes & Vizcaina Sauce,$24.00,,TRUE,,,,,,
Maha Restaurant,-37.8181937,144.9625532,"21 Bond St, Melbourne VIC 3000, Australia",(03) 9629 5900,https://maharestaurant.com.au/menu/,,RETURN OF JAFAR,$22,,,,TRUE,,,,
Le Petit Gateau,-37.8162435,144.9596107,"458 Little Collins St, Melbourne VIC 3000, Austral",(03) 9944 8893,https://www.racv.com.au,Crisp Lemon Tart,Crisp tart base with a tangy lemon curd.,$49.00,,,TRUE,,,,,
Le Petit Gateau,-37.8162435,144.9596107,"458 Little Collins St, Melbourne VIC 3000, Austral",(03) 9944 8893,https://www.racv.com.au,Cosmopolitan,"Carrot cake base, white chocolate cheese cake and raspberry jam.",$42.00,,,TRUE,,,,,
Le Petit Gateau,-37.8162435,144.9596107,"458 Little Collins St, Melbourne VIC 3000, Austral",(03) 9944 8893,https://www.racv.com.au,Bandaloue Pear Tart,"Each season, a special tart is created using the finest fruit available.",$40.00,,,TRUE,,,,,
Le Petit Gateau,-37.8162435,144.9596107,"458 Little Collins St, Melbourne VIC 3000, Austral",(03) 9944 8893,https://www.racv.com.au,Strawberry And Berry Tart,"Frangipane base tart, with berry jam, fresh strawberry, raspberry and blackberry.",$42.00,,,TRUE,,,,,
Le Petit Gateau,-37.8162435,144.9596107,"458 Little Collins St, Melbourne VIC 3000, Austral",(03) 9944 8893,https://www.racv.com.au,Hazelnut Praline Mud Cake,Praline mud cake with a delicious smooth hazelnut chocolate icing,$42.00,,,TRUE,,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,"Malaysian Bbq Chicken
Ayam Sate",marinated in penang style spices and homemade peanut sauce.,,,TRUE,,,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,"Crying Tiger
Seua Rong Hai",char-grilled wagyu beef with a spicy citrus dipping sauce.,,,TRUE,,,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,"Bbq Lamb Ribs
Sii Krong Nuex",mekong whiskey marinated lamb ribs in a sticky special sauce.,,,TRUE,,,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,Great Leap Forward,"lychee infused vodka, lime, mint and topped with ginger beer",,,,,TRUE,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,Chiang Mai Bloody Mary,,,,,,TRUE,,,,
Journeyman,-37.852228,144.9931604,"169 Chapel St, Windsor VIC 3181, Australia",(03) 9521 4884,https://journeymancafe.com.au/,Toast With Spreads,sourdough / multigrain / raisin / rye,$7.00,TRUE,,,,,,,
Journeyman,-37.852228,144.9931604,"169 Chapel St, Windsor VIC 3181, Australia",(03) 9521 4884,https://journeymancafe.com.au/,Bircher Muesli,house-made muesli with fresh fruits and organic yogurt,$13.00,,,TRUE,,,,,
Journeyman,-37.852228,144.9931604,"169 Chapel St, Windsor VIC 3181, Australia",(03) 9521 4884,https://journeymancafe.com.au/,Coconut Chia Pudding,"with fresh fruit, mango puree and crispy coconut",$14.00,,,TRUE,,,,,
Journeyman,-37.852228,144.9931604,"169 Chapel St, Windsor VIC 3181, Australia",(03) 9521 4884,https://journeymancafe.com.au/,Toasted Waffles,"with blueberry compote, fresh fruits, double cream and pure maple syrup",$15.00,,,TRUE,,,,,
Journeyman,-37.852228,144.9931604,"169 Chapel St, Windsor VIC 3181, Australia",(03) 9521 4884,https://journeymancafe.com.au/,Slow Cooked Beans,with yarra valley feta on sourdough,$14.00,TRUE,,,,,,,
Roule Galette,-37.81686,144.966301,"241 Flinders Ln, Melbourne VIC 3000, Australia",(03) 9639 0307,www.roulegalette.com.au/,Yeti,"Ice cream, banana and chocolate",$10.00,,,TRUE,,,,,
Roule Galette,-37.81686,144.966301,"241 Flinders Ln, Melbourne VIC 3000, Australia",(03) 9639 0307,www.roulegalette.com.au/,Strawberry Queen,Fresh strawberries and whipped cream,$10.00,,,TRUE,,,,,
Roule Galette,-37.81686,144.966301,"241 Flinders Ln, Melbourne VIC 3000, Australia",(03) 9639 0307,www.roulegalette.com.au/,Lady Petrova,Fresh strawberries and Nutella,$10.00,,,TRUE,,,,,
Roule Galette,-37.81686,144.966301,"241 Flinders Ln, Melbourne VIC 3000, Australia",(03) 9639 0307,www.roulegalette.com.au/,Chamonix,"Ice cream, chocolate, almonds _",$9.00,,,TRUE,,,,,
Roule Galette,-37.81686,144.966301,"241 Flinders Ln, Melbourne VIC 3000, Australia",(03) 9639 0307,www.roulegalette.com.au/,Aumonière,"Ice cream, whipped cream, chocolate",$12.00,,,TRUE,,,,,
Shoya Nouvelle Wafu Cuisine,-37.811732,144.9691095,"25 Market Ln, Melbourne VIC 3000, Australia",(03) 9650 0848,http://www.shoya.com.au,Unitama,"Chef’s special appetizer “The King of Eggs”
Scrambled egg with sea-urchin topped with fresh salmon
caviar",$8.00,TRUE,,,,,,,
Shoya Nouvelle Wafu Cuisine,-37.811732,144.9691095,"25 Market Ln, Melbourne VIC 3000, Australia",(03) 9650 0848,http://www.shoya.com.au,Edamame,Boiled and lightly salted young soy beans,$7.50,TRUE,,,,,,,
Shoya Nouvelle Wafu Cuisine,-37.811732,144.9691095,"25 Market Ln, Melbourne VIC 3000, Australia",(03) 9650 0848,http://www.shoya.com.au,Broiled Duck Shoya Style,"Delicately cooked then thinly sliced duck breast with a pinenut,
seeded mustard, tangy homemade orange soy sauce",$15.00,TRUE,,,,,,,
Shoya Nouvelle Wafu Cuisine,-37.811732,144.9691095,"25 Market Ln, Melbourne VIC 3000, Australia",(03) 9650 0848,http://www.shoya.com.au,Wagyu Beef Tataki ,"Lightly grilled Wagyu beef served chilled with grated plum
radish, quail egg and ponzu sauce. Nice starter with any
drinks",$14.00,TRUE,,,,,,,
The Town Mouse,-37.7985722,144.9689725,"312 Drummond St, Carlton VIC 3053, Australia",(03) 9347 3312,,John Dory,"baked potato, camomile & choy sum ",$32.00,,TRUE,,,,,,
The Town Mouse,-37.7985722,144.9689725,"312 Drummond St, Carlton VIC 3053, Australia",(03) 9347 3312,,Lamb Rump, hazelnut romesco ,$45.00,,TRUE,,,,,,
The Town Mouse,-37.7985722,144.9689725,"312 Drummond St, Carlton VIC 3053, Australia",(03) 9347 3312,,Half Roast Chicken,"tarragon, shiitake & mustard ",$39.00,,TRUE,,,,,,
The Town Mouse,-37.7985722,144.9689725,"312 Drummond St, Carlton VIC 3053, Australia",(03) 9347 3312,,Butter Lettuce Leaves ,Butter lettuce leaves ,$10.00,,TRUE,,,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,Curry Yasai Donburi,A classic Japanese style curry with mixed veggies on brown rice,$16.00,,,,,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,Matcha Tiramisu,Espresso soaked biscuit,$10.00,,,TRUE,,TRUE,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,Veggie Gyoza,Pan fried vegetarian Japanese dumpling (4 pcs),$8.00,,,,TRUE,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,Phoenix Organic Ginger Beer,Organic Ginger Beer ,$4.50,,TRUE,,,,,,
Rice Paper Scissors,-37.8111848,144.9712986,"19 Liverpool St, Melbourne VIC 3000, Australia",(03) 9663 9890,http://www.ricepaperscissors.com.au/,Pork Gyoza,Pan fried pork Japanese dumpling ,,,,,,,,,
Andrew's Hamburgers,-37.840634,144.9552764,"144 Bridport St, Albert Park VIC 3206, Australia",(03) 9690 2126,https://andrewshamburgers.com.au/,Beef Hamburger,"Beef pattie, lettuce, cooked onions, fresh tomato and tomato sauce.",$9.50,,TRUE,,,,,,
Andrew's Hamburgers,-37.840634,144.9552764,"144 Bridport St, Albert Park VIC 3206, Australia",(03) 9690 2126,https://andrewshamburgers.com.au/,Steak,"Certified Black Angus scotch fillet cooked the way you like it with lettuce, fresh tomato, caramelised onion and tomato sauce.",$11.50,,TRUE,,,,,,
Andrew's Hamburgers,-37.840634,144.9552764,"144 Bridport St, Albert Park VIC 3206, Australia",(03) 9690 2126,https://andrewshamburgers.com.au/,Chicken Hamburger,"Whole chicken skinless breast fillet, lettuce, fresh tomato and mayonnaise.",$11.50,,TRUE,,,,,,
Rockwell and Sons,-37.800555,144.984237,"288 Smith St, Collingwood VIC 3066, Australia",(03) 8415 0700,http://www.rockwellandsons.com.au/,Deviled Egg,Chives,$4.00,TRUE,,,,,,,
Rockwell and Sons,-37.800555,144.984237,"288 Smith St, Collingwood VIC 3066, Australia",(03) 8415 0700,http://www.rockwellandsons.com.au/,Sweet Potato Crisps,Smoked Ricotta,$7.00,TRUE,,,,,,,
Rockwell and Sons,-37.800555,144.984237,"288 Smith St, Collingwood VIC 3066, Australia",(03) 8415 0700,http://www.rockwellandsons.com.au/,Grilled Cornbread,"House-Cured Lardo, Corn, Thyme",$10.00,TRUE,,,,,,,
Borsch,-37.8521253,144.9931169,"173 Chapel St, Windsor VIC 3181, Australia",(03) 9530 2694,http://borschvodkaandtears.com/,Piasecki Warmian Honey Okowita 45%,"This Very Special Spirit Is Truly Unique And You Won’t Find Anything Like It Elsewhere In Australia. It Is Not A Vodka Or A Brandy, As It Is Not Distilled From Grains, Potatoes Or Fruit. It Is Actually Distilled From Honey (About Three Litres Per Bottle.) It Then Spends At Least Three Years In Oak Barrels To Produce A Spirit With Incredible Length And Balance. We Are Rather Chuffed To Have It On The Shelf.",$22.00,,,,TRUE,,,,
Borsch,-37.8521253,144.9931169,"173 Chapel St, Windsor VIC 3181, Australia",(03) 9530 2694,http://borschvodkaandtears.com/,Krzeska Ziołowa,"A Bitter And Savoury Digestif Flavoured With An Unsual Collection Of Herbs - The Same Herbs In Fact That We Put Into The Borsch. The Drink Reveals Something New Each Time You Try It: Plum, Vanilla Ice Cream, Leather, Tobacco. Designed By The Creator Of The Chopin Vodka Range.",$18.00,,,,TRUE,,,,
Borsch,-37.8521253,144.9931169,"173 Chapel St, Windsor VIC 3181, Australia",(03) 9530 2694,http://borschvodkaandtears.com/,Miodula Prezydencka,"Only 4000 Bottles Are Produced Annually With 500 Allotted To Poland’s President As Diplomatic Gifts. Each Bottle Is Filled By Hand With The Bottle Number And Batch Information Also Handwritten. Made Following A 1772 Recipe, The Honey Is Sourced From The Southern Mountains, Then Blended With Rye Vodka, Vanilla And Herbs Before Being Rested In Oak Casks. It Is The Best Honey Vodka In The Wo",$16.00,,,,TRUE,,,,
Borsch,-37.8521253,144.9931169,"173 Chapel St, Windsor VIC 3181, Australia",(03) 9530 2694,http://borschvodkaandtears.com/,Soplica Staropolska,"An Astonishing Liqueur Style Vodka. Honey, Walnut, Clove With Jasmine And Lilac Notes. Aged In Oak Then Bottled In Hand Painted Decanters. The Ideal Ending To Any Meal.",$13.00,,,,TRUE,,,,
Borsch,-37.8521253,144.9931169,"173 Chapel St, Windsor VIC 3181, Australia",(03) 9530 2694,http://borschvodkaandtears.com/,Skoczowska Tataraku 50%,"This Vodka Is Infused With Tataraku (Acorus Calamus), A Wetland Grass Used Extensively In Chinese And Indian Medicines. The Egyptians Even Claimed It An Aphrodisiac. Bitter And Complex With A Hint Of Anise.",$12.00,,,,TRUE,,,,
Koko Black,-37.8145089,144.9641665,"Royal Arcade, 4/335 Bourke St, Melbourne VIC 3000,",(03) 9639 8911,www.kokoblack.com/,54% Dark Chocolate Buttons,54% Dark Couverture Chocolate Buttons,$8.90,,,TRUE,,,,,
Koko Black,-37.8145089,144.9641665,"Royal Arcade, 4/335 Bourke St, Melbourne VIC 3000,",(03) 9639 8911,www.kokoblack.com/,34% Milk Chocolate Buttons,34% Milk Couverture Chocolate Buttons,$8.90,,,TRUE,,,,,
Koko Black,-37.8145089,144.9641665,"Royal Arcade, 4/335 Bourke St, Melbourne VIC 3000,",(03) 9639 8911,www.kokoblack.com/,Chocolate Shavings 250G,Make hot drinking chocolate at home,$21.50,,,,TRUE,,,,
BrimCC,-37.817854,144.9547783,"2/601 Little Collins St, Melbourne VIC 3000, Austr",(03) 9629 6794,http://www.brimcc.com.au/,Tokyo Bento,"Rice balls, Meatball, potato salad w/Japanese mayo, traditional carrots and egg plant & tofu w/sweet misoo",$12.50,,TRUE,,,,,,
BrimCC,-37.817854,144.9547783,"2/601 Little Collins St, Melbourne VIC 3000, Austr",(03) 9629 6794,http://www.brimcc.com.au/,Tuna And Onion Slice Salad,Organic onion soaked in water is the best match with tuna in our Dashi,$5.00,,,,,,,TRUE,
BrimCC,-37.817854,144.9547783,"2/601 Little Collins St, Melbourne VIC 3000, Austr",(03) 9629 6794,http://www.brimcc.com.au/,Vegetarian Special,"Japanese traditional soy bean dish in a small bowl, Marinated veges in Ponzu (citrus flavour soy sauce dressing) on organic tofu steak, Sweet & salty daikon, traditional cucumber pickles, Pumpkin slices, Diced tomato in Ponzu and rice",$13.00,,,,,TRUE,,,
BrimCC,-37.817854,144.9547783,"2/601 Little Collins St, Melbourne VIC 3000, Austr",(03) 9629 6794,http://www.brimcc.com.au/,Hiya Yakko," assorted colourful toppings on it. Offering soy sauce, Dashi or tamari soy sauce with. Comes with traditional carrot. ",$8.50,,,,,TRUE,TRUE,,
BrimCC,-37.817854,144.9547783,"2/601 Little Collins St, Melbourne VIC 3000, Austr",(03) 9629 6794,http://www.brimcc.com.au/,Tokyo Sweets,"On organic corn flakes, two different flavors of tea ice cream (Maccha & Houjicha) surrounded by organic nuts caramelized in organic maple syrup and lovely toppings.",$11.00,,,TRUE,,,,,
Sichuan House,-37.8109756,144.9682765,"22-26 Corrs Ln, Melbourne VIC 3000, Australia",(03) 9650 8589,http://www.sichuanhouse.com.au/,Stir-Fried Green Beans,bean shoots stir fried with minced pork,,,TRUE,,,TRUE,,,
